id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,amount
3112,City,1,Trip Completed,13-07-2016 08:33:16,13-07-2016 09:25:47,100
3879,Airport,1,Trip Completed,13-07-2016 21:57:28,13-07-2016 22:28:59,100
4270,Airport,1,Trip Completed,14-07-2016 06:15:32,14-07-2016 07:13:15,100
5510,Airport,1,Trip Completed,15-07-2016 05:11:52,15-07-2016 06:07:52,100
6248,City,1,Trip Completed,15-07-2016 17:57:27,15-07-2016 18:50:51,100
2784,Airport,2,Trip Completed,13-07-2016 04:49:20,13-07-2016 05:23:03,100
3075,City,2,Trip Completed,13-07-2016 08:02:53,13-07-2016 09:16:19,100
3379,City,2,Trip Completed,13-07-2016 14:23:02,13-07-2016 15:35:18,100
3482,Airport,2,Trip Completed,13-07-2016 17:23:18,13-07-2016 18:20:51,100
4652,City,2,Trip Completed,14-07-2016 12:01:02,14-07-2016 12:36:46,100
5335,Airport,2,Trip Completed,14-07-2016 22:24:13,14-07-2016 23:18:52,100
3096,Airport,3,Trip Completed,13-07-2016 08:17:29,13-07-2016 09:22:37,100
3881,Airport,3,Trip Completed,13-07-2016 21:54:18,13-07-2016 22:51:23,100
5254,City,3,Trip Completed,14-07-2016 21:23:03,14-07-2016 22:25:19,100
5434,City,3,Trip Completed,15-07-2016 02:41:38,15-07-2016 03:24:43,100
5916,City,3,Trip Completed,15-07-2016 10:00:43,15-07-2016 10:53:06,100
2847,Airport,4,Trip Completed,13-07-2016 05:34:20,13-07-2016 06:09:59,100
3722,Airport,4,Trip Completed,13-07-2016 19:57:59,13-07-2016 20:32:04,100
4075,City,4,Trip Completed,14-07-2016 02:17:35,14-07-2016 03:21:38,100
4686,City,4,Trip Completed,14-07-2016 13:01:10,14-07-2016 13:45:28,100
5771,Airport,4,Trip Completed,15-07-2016 08:30:06,15-07-2016 09:37:20,100
6106,Airport,4,Trip Completed,15-07-2016 15:01:20,15-07-2016 15:47:31,100
3014,City,5,Trip Completed,13-07-2016 07:28:14,13-07-2016 08:29:47,100
3317,City,5,Trip Completed,13-07-2016 12:14:27,13-07-2016 12:46:38,100
4297,City,5,Trip Completed,14-07-2016 06:43:01,14-07-2016 07:49:38,100
5857,Airport,5,Trip Completed,15-07-2016 09:08:50,15-07-2016 10:07:07,100
6690,Airport,5,Trip Completed,15-07-2016 22:41:41,15-07-2016 23:51:00,100
2960,Airport,6,Trip Completed,13-07-2016 06:50:33,13-07-2016 07:40:35,100
3882,City,6,Trip Completed,13-07-2016 21:53:03,13-07-2016 22:45:24,100
4081,Airport,6,Trip Completed,14-07-2016 02:37:14,14-07-2016 03:30:27,100
4740,City,6,Trip Completed,14-07-2016 14:50:07,14-07-2016 15:38:14,100
5270,City,6,Trip Completed,14-07-2016 21:33:55,14-07-2016 22:25:43,100
6758,Airport,6,Trip Completed,15-07-2016 00:03:39,15-07-2016 01:07:39,100
5741,City,6,Trip Completed,15-07-2016 07:52:51,15-07-2016 08:38:55,100
6087,Airport,6,Trip Completed,15-07-2016 14:28:50,15-07-2016 15:33:53,100
4105,City,7,Trip Completed,14-07-2016 03:39:38,14-07-2016 04:39:04,100
4509,City,7,Trip Completed,14-07-2016 09:11:13,14-07-2016 10:17:01,100
4986,Airport,7,Trip Completed,14-07-2016 18:52:32,14-07-2016 19:50:57,100
5898,City,7,Trip Completed,15-07-2016 09:50:28,15-07-2016 10:40:39,100
6142,Airport,7,Trip Completed,15-07-2016 15:50:15,15-07-2016 16:36:56,100
3265,Airport,8,Trip Completed,13-07-2016 10:22:07,13-07-2016 11:07:02,100
4648,City,8,Trip Completed,14-07-2016 11:55:10,14-07-2016 12:59:34,100
3072,Airport,9,Trip Completed,13-07-2016 08:04:57,13-07-2016 08:36:37,100
3459,Airport,9,Trip Completed,13-07-2016 17:03:30,13-07-2016 17:31:49,100
3774,Airport,9,Trip Completed,13-07-2016 20:41:24,13-07-2016 21:27:29,100
4023,City,9,Trip Completed,13-07-2016 23:58:41,14-07-2016 00:58:39,100
4117,City,9,Trip Completed,14-07-2016 04:21:42,14-07-2016 05:07:07,100
4880,Airport,9,Trip Completed,14-07-2016 17:58:46,14-07-2016 19:02:42,100
5568,Airport,9,Trip Completed,15-07-2016 05:47:49,15-07-2016 06:25:49,100
5994,Airport,9,Trip Completed,15-07-2016 11:51:16,15-07-2016 12:32:12,100
3210,City,10,Trip Completed,13-07-2016 09:47:06,13-07-2016 10:52:37,100
4350,City,10,Trip Completed,14-07-2016 07:24:43,14-07-2016 08:22:09,100
4713,City,10,Trip Completed,14-07-2016 13:31:24,14-07-2016 14:10:56,100
5629,Airport,10,Trip Completed,15-07-2016 06:33:00,15-07-2016 07:19:53,100
6157,Airport,10,Trip Completed,15-07-2016 16:32:51,15-07-2016 17:44:44,100
3226,City,11,Trip Completed,13-07-2016 10:00:17,13-07-2016 11:02:52,100
3353,City,11,Trip Completed,13-07-2016 13:29:44,13-07-2016 14:09:00,100
4293,City,11,Trip Completed,14-07-2016 06:42:36,14-07-2016 07:12:41,100
4936,City,11,Trip Completed,14-07-2016 18:22:17,14-07-2016 19:14:36,100
5661,Airport,11,Trip Completed,15-07-2016 07:08:50,15-07-2016 07:59:00,100
5778,City,11,Trip Completed,15-07-2016 08:22:03,15-07-2016 09:13:04,100
6425,Airport,11,Trip Completed,15-07-2016 19:46:40,15-07-2016 20:26:51,100
4077,Airport,12,Trip Completed,14-07-2016 02:14:15,14-07-2016 03:13:09,100
4610,City,12,Trip Completed,14-07-2016 10:35:14,14-07-2016 11:39:01,100
5066,Airport,12,Trip Completed,14-07-2016 19:31:20,14-07-2016 20:14:03,100
5666,Airport,12,Trip Completed,15-07-2016 07:04:55,15-07-2016 08:12:37,100
5923,City,12,Trip Completed,15-07-2016 10:07:49,15-07-2016 10:50:50,100
6367,City,12,Trip Completed,15-07-2016 19:04:46,15-07-2016 19:46:04,100
3076,City,13,Trip Completed,13-07-2016 08:09:04,13-07-2016 09:12:19,100
